132,"00: 00: 24","0.00","0.00","0.19","0.25","0.00","28.46","0.13","0.53","0.02","-16.60"
133,"00: 00: 24","0.00","0.00","0.21","0.14","0.01","6.29","0.30","0.31","0.02","-12.28"
134,"00: 00: 24","0.00","0.00","0.40","0.14","0.01","2.15","0.42","0.32","0.03","-13.24"
135,"00: 00: 24","0.00","0.00","1.67","0.20","0.01","0.75","0.43","0.42","0.05","-19.56"
136,"00: 00: 24","0.00","0.00","4.05","0.19","0.01","0.53","0.42","0.50","0.09","-22.63"
137,"00: 00: 24","0.00","0.00","17.58","0.28","0.00","0.43","0.43","0.63","0.21","-29.64"
138,"00: 00: 25","0.00","0.00","10.07","0.71","0.00","0.33","0.42","0.26","0.11","-27.45"
139,"00: 00: 25","0.00","0.00","13.22","0.64","0.00","0.41","0.42","0.36","0.14","-29.56"
140,"00: 00: 25","0.00","0.00","19.98","0.49","0.00","0.45","0.43","0.51","0.20","-31.34"
141,"00: 00: 25","0.00","0.00","19.64","0.60","0.00","1.10","0.43","0.40","0.19","-30.95"
142,"00: 00: 25","0.00","0.00","24.91","0.43","0.00","0.72","0.43","0.60","0.25","-32.37"
143,"00: 00: 26","0.00","0.00","0.53","0.23","0.00","0.80","0.43","0.33","0.03","-15.90"
144,"00: 00: 26","0.00","0.00","0.68","0.37","0.00","0.47","0.43","0.20","0.03","-15.98"
145,"00: 00: 26","0.00","0.00","0.83","0.64","0.00","0.38","0.43","0.13","0.03","-16.53"
146,"00: 00: 26","0.00","0.00","2.80","0.77","0.00","0.46","0.43","0.16","0.05","-21.69"
147,"00: 00: 26","0.00","0.00","1.86","0.68","0.00","0.43","0.43","0.15","0.04","-19.73"
148,"00: 00: 26","0.00","0.00","6.11","0.62","0.00","0.40","0.43","0.25","0.09","-25.20"
149,"00: 00: 27","0.00","0.00","7.29","0.56","0.00","0.46","0.43","0.29","0.10","-26.02"
150,"00: 00: 27","0.00","0.00","9.04","0.66","0.00","0.34","0.44","0.27","0.11","-26.75"
151,"00: 00: 27","0.00","0.00","15.66","0.75","0.00","0.34","0.44","0.31","0.16","-29.44"
152,"00: 00: 27","0.00","0.00","5.91","0.56","0.00","0.74","0.43","0.25","0.09","-24.69"
153,"00: 00: 27","0.00","0.00","1.93","0.71","0.00","0.46","0.43","0.14","0.04","-19.85"
154,"00: 00: 27","0.00","0.00","2.61","1.00","0.00","0.74","0.43","0.12","0.05","-21.29"
155,"00: 00: 27","0.00","0.00","1.15","0.49","0.00","1.43","0.42","0.18","0.04","-18.30"
156,"00: 00: 28","0.00","0.00","3.21","0.49","0.00","0.50","0.43","0.28","0.07","-23.03"
157,"00: 00: 28","0.00","0.00","4.39","0.47","0.00","0.36","0.43","0.31","0.08","-24.33"
158,"00: 00: 28","0.00","0.00","1.61","0.28","0.00","0.34","0.42","0.31","0.05","-19.41"
159,"00: 00: 28","0.00","0.00","0.40","0.38","0.00","0.25","0.43","0.15","0.02","-13.44"
160,"00: 00: 28","0.00","0.00","0.14","0.29","0.00","0.22","0.43","0.11","0.01","-7.99"
161,"00: 00: 28","0.00","0.00","0.08","0.22","0.00","0.22","0.43","0.12","0.01","-5.40"
162,"00: 00: 29","0.00","0.00","0.14","0.23","0.00","0.23","0.43","0.14","0.01","-8.05"
163,"00: 00: 29","0.00","0.00","0.32","0.30","0.00","0.24","0.43","0.20","0.02","-13.10"
164,"00: 00: 29","0.00","0.00","2.19","0.41","0.00","0.34","0.43","0.41","0.06","-23.06"
165,"00: 00: 29","0.00","0.00","0.67","0.45","0.00","0.56","0.43","0.26","0.03","-18.05"
166,"00: 00: 29","0.00","0.00","0.39","0.57","0.00","0.33","0.43","0.13","0.02","-14.18"
167,"00: 00: 30","0.00","0.00","0.09","0.36","0.00","0.24","0.43","0.13","0.01","-8.43"
168,"00: 00: 30","0.00","0.00","0.27","0.60","0.00","0.22","0.43","0.13","0.01","-13.43"
169,"00: 00: 00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
170,"00: 00: 07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
171,"00: 00: 07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
172,"00: 00: 07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
173,"00: 00: 09","0.00","0.00","0.03","0.21","0.00","2.54","0.43","0.11","0.01","-1.29"
174,"00: 00: 09","0.00","0.00","0.03","0.23","0.00","21.96","0.43","0.10","0.01","-0.54"
175,"00: 00: 09","0.00","0.00","0.04","0.28","0.00","16.94","0.43","0.10","0.01","-2.47"
176,"00: 00: 09","0.00","0.00","0.04","0.27","0.00","2.24","0.42","0.10","0.01","-2.65"
177,"00: 00: 09","0.00","0.00","0.03","0.25","0.00","1.93","0.42","0.10","0.01","-2.26"
178,"00: 00: 10","0.00","0.00","0.05","0.30","0.00","0.79","0.42","0.11","0.01","-4.87"
179,"00: 00: 10","0.00","0.00","0.05","0.30","0.00","0.63","0.42","0.20","0.01","-7.86"
180,"00: 00: 10","0.00","0.00","0.28","0.62","0.00","0.34","0.42","0.12","0.01","-13.50"
181,"00: 00: 10","0.00","0.00","0.11","0.40","0.00","0.29","0.41","0.14","0.01","-9.80"
182,"00: 00: 10","0.00","0.00","0.05","0.28","0.00","0.38","0.41","0.10","0.01","-4.82"
183,"00: 00: 11","0.00","0.00","0.03","0.25","0.00","0.67","0.42","0.36","0.01","-8.78"
184,"00: 00: 11","0.00","0.00","0.01","0.25","0.02","66.04","0.41","27.15","0.01","-27.98"
185,"00: 00: 11","0.35","0.00","0.01","0.30","0.04","98.58","0.32","27.96","0.01","-41.26"
186,"00: 00: 11","0.08","0.00","0.02","0.21","0.01","92.14","0.34","0.38","0.00","-13.51"
187,"00: 00: 11","0.00","0.00","0.03","0.22","0.00","2.39","0.42","0.09","0.01","-1.92"
188,"00: 00: 12","0.00","0.00","0.03","0.21","0.00","0.21","0.43","0.09","0.00","-1.26"
189,"00: 00: 12","0.00","0.00","0.04","0.23","0.00","4.31","0.43","0.09","0.01","-2.23"
190,"00: 00: 12","0.00","0.00","0.03","0.23","0.00","8.66","0.43","0.08","0.01","-1.77"
191,"00: 00: 12","0.00","0.00","0.03","0.23","0.00","78.65","0.42","0.08","0.01","-1.87"
192,"00: 00: 12","0.00","0.00","0.03","0.23","0.00","48.51","0.42","0.09","0.01","-1.97"
193,"00: 00: 12","0.00","0.00","0.04","0.26","0.00","41.31","0.42","0.10","0.01","-4.18"
194,"00: 00: 13","0.00","0.00","0.04","0.23","0.00","3.45","0.42","0.09","0.01","-2.23"
195,"00: 00: 13","0.00","0.00","0.03","0.23","0.00","0.55","0.43","0.09","0.01","-1.85"
196,"00: 00: 13","0.00","0.00","0.03","0.22","0.00","0.48","0.43","0.09","0.01","-1.34"
197,"00: 00: 13","0.00","0.00","0.03","0.21","0.00","0.41","0.42","0.10","0.00","-0.87"
198,"00: 00: 13","0.00","0.00","0.03","0.21","0.00","0.53","0.43","0.10","0.01","-1.13"
199,"00: 00: 13","0.00","0.00","0.04","0.25","0.00","0.64","0.42","0.09","0.01","-2.79"
200,"00: 00: 14","0.00","0.00","0.05","0.28","0.00","0.39","0.43","0.10","0.01","-3.78"
